age,gender,marital_status,income,education_level,employment_status,credit_score,vehicle_age,vehicle_type,vehicle_price,policy_tenure,premium_amount,no_of_claims,accident_severity,region,fraudulent_flag,agent_rating,claim_amount,claim_approved
61,Female,Single,1108694,Graduate,Employed,790,10,Car,913709,5,52723,5,Low,North,0,2,112252,0
42,Female,Single,941207,Graduate,Self-Employed,708,10,Bike,2359141,4,58823,5,High,West,0,4,85319,0
34,Male,Married,1313700,Graduate,Employed,556,2,SUV,2077527,3,34336,2,Low,South,0,4,63354,0
30,Male,Married,497753,High School,Self-Employed,635,8,SUV,1254987,4,59437,2,Medium,West,0,4,142839,1
37,Female,Single,1942181,High School,Unemployed,532,11,Car,433483,2,27652,5,Low,North,1,4,34142,0
42,Male,Married,438242,High School,Unemployed,372,12,Car,990581,2,44548,5,Medium,West,0,4,65230,0
21,Male,Divorced,643376,High School,Retired,312,8,Bike,250870,4,44426,1,Medium,North,0,4,28189,0
27,Female,Divorced,1987082,Graduate,Employed,882,5,Car,544798,3,44976,1,Medium,South,0,2,76408,0
20,Female,Single,1954723,High School,Employed,804,6,Car,2278553,7,40965,0,Low,West,0,1,46415,0
58,Female,Married,360024,Graduate,Self-Employed,300,4,Bike,947955,9,48017,4,Low,West,0,2,82667,0
62,Male,Married,1837267,High School,Employed,458,6,Car,1033540,1,6733,3,Low,East,0,2,7442,0
35,Male,Single,1720896,Graduate,Employed,808,5,Car,1208781,7,51941,1,Medium,South,1,5,37308,0
64,Male,Married,977309,Graduate,Self-Employed,782,4,Bike,769695,3,11020,5,Low,North,0,5,12270,0
53,Female,Married,1994371,High School,Employed,515,2,Bike,1784897,4,71463,1,Low,North,0,3,153021,0
64,Male,Married,1751126,Graduate,Employed,494,13,Bike,207982,2,32422,4,Low,West,1,1,28045,0
39,Male,Married,277538,Postgraduate,Employed,611,1,Car,1689844,5,33940,2,Low,South,0,4,28941,1
51,Female,Married,1125033,High School,Retired,702,4,Car,322373,8,61599,3,Low,West,0,4,132217,0
64,Female,Married,1987541,Graduate,Employed,303,13,Car,1676801,2,65154,4,Low,West,0,3,66222,0
25,Female,Single,1311101,High School,Employed,841,7,Car,1337916,8,73119,0,Low,West,0,4,85130,1
57,Male,Married,1842112,High School,Retired,405,13,Car,1803921,9,18640,2,Low,East,1,3,29463,0
66,Female,Married,329210,Graduate,Employed,421,4,Car,576395,5,41851,3,High,East,0,1,56395,0
61,Male,Married,1182595,High School,Employed,566,2,Bike,117266,9,12289,2,Low,North,1,4,26327,0
36,Male,Single,501970,Postgraduate,Self-Employed,540,9,SUV,829932,8,15790,4,Low,South,0,2,26134,0
59,Female,Married,1175389,High School,Employed,352,14,Car,1551402,2,33799,3,Medium,North,1,3,65229,0
58,Female,Single,481472,High School,Employed,423,2,Car,2417555,5,67055,1,Low,East,0,4,128544,0
54,Female,Divorced,1331823,Graduate,Unemployed,387,14,Bike,2240707,9,51387,0,Low,West,0,1,33603,0
23,Female,Married,1503166,Graduate,Employed,609,4,Bike,1415099,9,28297,2,Low,West,0,2,69289,0
69,Female,Married,513556,Graduate,Self-Employed,856,13,Car,1033968,8,44336,5,Low,East,1,3,28457,0
43,Male,Married,1856213,High School,Self-Employed,875,8,Car,200935,2,31242,0,Medium,North,0,5,74910,1
51,Male,Divorced,981105,Postgraduate,Employed,312,14,Bike,2140243,6,67095,2,Low,East,0,5,166087,0
62,Male,Single,1126657,Postgraduate,Self-Employed,508,13,Car,100770,1,30912,2,Low,West,0,5,31585,0
23,Female,Single,1556933,Graduate,Employed,734,14,Bike,1117696,7,24471,5,Low,North,0,2,43740,0
54,Male,Married,1935615,Graduate,Employed,351,7,SUV,511289,6,40847,2,Low,West,0,4,24771,0
50,Female,Divorced,1736916,Graduate,Self-Employed,406,6,SUV,398756,8,63099,0,Low,West,0,4,117443,0
39,Female,Married,710866,High School,Employed,820,4,Car,2306588,7,38643,1,Low,West,0,4,33793,1
38,Male,Married,1206810,High School,Self-Employed,419,8,SUV,2095190,2,7797,2,Medium,West,0,1,18573,0
23,Male,Single,284388,High School,Employed,366,11,Truck,2256513,2,36020,4,Low,North,0,3,65199,0
23,Female,Divorced,575102,Postgraduate,Employed,381,1,Car,1480103,2,10997,5,Medium,West,1,1,22327,0
65,Male,Married,1137116,High School,Self-Employed,413,5,Car,281522,6,50822,4,Medium,East,0,2,121528,0
21,Female,Married,230907,Graduate,Employed,753,6,SUV,2258489,8,14466,5,Low,South,0,1,32051,0
47,Male,Married,295707,High School,Unemployed,531,6,SUV,1663302,1,38688,0,Low,West,0,3,55509,0
28,Male,Married,591329,Graduate,Self-Employed,870,11,Bike,1160146,2,55140,0,Medium,North,0,4,46394,1
47,Male,Married,1764800,High School,Retired,861,10,Truck,655781,5,58664,4,Low,East,0,2,67218,0
48,Male,Divorced,674200,Graduate,Employed,615,12,Car,709776,9,68713,5,Medium,West,0,2,115280,0
41,Male,Single,859326,High School,Retired,774,3,Bike,1872024,8,63118,1,Low,East,0,5,125733,1
26,Female,Single,307412,Postgraduate,Self-Employed,670,1,Car,1496982,1,18194,1,Low,South,0,2,18374,0
20,Male,Single,1434081,Postgraduate,Self-Employed,832,0,Car,2265590,8,25153,3,Medium,West,0,1,35130,0
68,Male,Married,876761,Graduate,Retired,557,0,Car,462531,7,33257,2,Medium,West,0,2,40401,0
48,Male,Single,352611,High School,Self-Employed,728,2,Bike,1373721,9,68069,5,Medium,East,0,2,98302,0
57,Female,Single,1312110,High School,Unemployed,799,6,Bike,2209546,4,19187,4,Low,West,0,3,22275,0
54,Female,Married,1465641,Postgraduate,Self-Employed,893,10,Car,1275440,6,52775,5,Medium,East,0,4,43078,0
53,Female,Single,236555,High School,Self-Employed,309,4,Bike,224914,4,58538,0,Medium,South,0,2,86190,0
41,Female,Married,700651,High School,Employed,724,6,Bike,1905452,4,20941,4,Low,North,0,2,50249,0
48,Female,Single,821203,Graduate,Employed,876,11,Car,1213278,9,39822,4,Low,East,0,1,28389,0
23,Male,Divorced,1521190,High School,Self-Employed,811,12,Car,289622,1,12531,0,Low,North,0,1,27206,0
19,Male,Married,1024858,High School,Retired,616,8,Car,939885,7,16217,4,Low,East,0,5,31948,0
37,Male,Single,1454377,Graduate,Unemployed,433,7,Bike,1503759,8,9785,5,Low,West,0,1,11336,0
45,Female,Married,1563644,High School,Self-Employed,317,0,Bike,886061,6,60939,1,Low,South,0,2,47245,0
28,Female,Single,1480164,High School,Self-Employed,646,13,Bike,663910,1,19767,2,Low,North,0,1,46734,0
21,Male,Married,1091699,Graduate,Employed,667,3,Car,100702,6,43884,1,Low,East,0,4,55231,1
32,Female,Married,586651,High School,Employed,467,4,Truck,644081,4,46719,4,Medium,West,0,3,63973,0
23,Female,Married,1729405,Graduate,Employed,316,6,Bike,615752,8,43828,1,Low,North,0,3,49942,0
66,Female,Single,1227137,High School,Employed,821,10,SUV,2201907,7,13556,3,Medium,East,0,5,29768,0
47,Male,Married,1416407,Graduate,Self-Employed,806,7,Car,739589,8,72616,4,Low,West,0,5,69297,0
55,Male,Divorced,1192335,Graduate,Unemployed,773,7,Bike,345603,1,49891,3,Low,South,0,5,100761,0
68,Female,Married,710091,Graduate,Employed,842,3,Bike,601482,9,66622,5,Low,North,1,3,66066,0
19,Female,Divorced,1525455,High School,Employed,605,13,SUV,226913,3,34432,1,Low,North,0,4,40724,1
32,Female,Single,771299,High School,Employed,678,10,Bike,233405,2,7284,5,Low,East,0,2,17114,0
28,Female,Married,1097153,Postgraduate,Employed,639,6,Car,1021112,9,11698,0,Medium,East,0,4,20293,1
25,Male,Married,1186072,High School,Employed,450,11,Car,1032095,1,5076,2,Medium,South,0,2,9564,0
43,Female,Single,964669,Graduate,Employed,344,10,Truck,265324,6,63719,0,Low,East,0,1,111642,0
68,Male,Single,498815,Postgraduate,Employed,506,1,Car,366270,5,63186,3,Low,East,0,3,54130,0
62,Male,Single,585052,Graduate,Retired,721,8,Car,221512,4,76998,5,Medium,West,1,3,140996,0
61,Male,Married,703771,High School,Employed,438,5,Car,1112284,1,32867,0,Medium,West,1,5,51865,0
22,Female,Married,950793,High School,Unemployed,691,3,Car,461372,2,41154,3,High,North,0,3,88675,0
23,Male,Divorced,1667628,Postgraduate,Self-Employed,683,5,Car,566450,4,33559,0,Low,West,0,1,83109,0
43,Male,Married,564118,Graduate,Employed,748,14,SUV,433785,6,66649,2,Low,West,0,4,116414,1
21,Female,Married,1376914,Graduate,Unemployed,502,6,Bike,225700,6,57254,4,Low,West,0,1,66912,0
36,Female,Married,1467086,Graduate,Self-Employed,309,9,Car,1682314,5,75036,2,Low,East,0,4,166296,0
37,Female,Single,1833718,Postgraduate,Employed,649,7,Truck,284604,8,75572,1,Medium,East,0,5,165484,1
50,Male,Single,1284667,Graduate,Employed,375,3,Bike,514035,3,66214,5,Low,North,0,4,146379,0
37,Female,Married,338192,High School,Unemployed,516,8,SUV,2287496,9,34502,1,Medium,East,0,4,41982,0
66,Male,Married,1256435,Graduate,Employed,591,5,Bike,1521636,4,53186,0,Low,North,0,4,70548,0
29,Male,Married,1478051,Graduate,Employed,303,0,Bike,1442364,1,68072,2,Low,North,0,5,138819,0
64,Female,Married,376549,High School,Employed,677,2,Car,1661212,6,71861,1,Low,South,0,3,96678,1
18,Male,Married,1386434,Postgraduate,Employed,337,13,SUV,1412040,2,18247,4,Low,East,0,3,26998,0
43,Male,Divorced,1085429,High School,Unemployed,887,0,Truck,263969,4,71310,0,Low,East,0,3,37037,1
31,Male,Married,1224017,Graduate,Unemployed,594,5,Car,2350245,3,9154,3,Medium,North,0,2,20870,0
55,Male,Married,821014,High School,Self-Employed,388,5,SUV,960387,3,74401,0,Medium,North,0,2,107955,0
54,Female,Single,793533,High School,Employed,574,6,Bike,2070362,2,41709,2,Low,South,0,2,96133,0
28,Male,Married,677906,Graduate,Retired,813,0,Car,1022816,8,49550,2,Low,East,0,1,121038,0
53,Female,Single,840006,Postgraduate,Self-Employed,449,0,Truck,1332730,2,28264,4,Low,South,0,3,23088,0
30,Male,Married,1836770,Graduate,Unemployed,612,4,Car,172749,1,75844,0,Low,East,0,4,50818,1
60,Male,Married,1072827,High School,Employed,399,4,Car,391090,5,40458,0,Low,West,0,5,74333,0
20,Female,Divorced,1230651,Graduate,Employed,558,0,SUV,514976,1,66153,5,Low,North,0,5,66705,0
50,Male,Single,269745,High School,Unemployed,578,6,Bike,223614,6,78313,2,High,East,1,2,108099,0
23,Male,Married,288915,High School,Employed,303,13,Bike,251569,5,22395,0,High,South,0,1,11553,0
67,Male,Single,1197886,High School,Self-Employed,711,6,SUV,2489894,1,64307,1,Low,East,0,2,87218,0
27,Male,Divorced,611219,High School,Self-Employed,889,5,Car,1372034,7,74697,1,Low,West,0,2,182413,0
22,Male,Married,1488040,Graduate,Employed,625,12,Car,1306586,3,53741,0,Low,East,0,4,37266,1
40,Male,Married,291087,Graduate,Unemployed,818,6,Truck,1928928,2,38046,1,Low,South,0,3,71316,1
27,Female,Divorced,1771429,High School,Employed,300,11,Car,1362560,9,57715,2,Medium,West,0,2,90379,0
61,Female,Married,1070868,Graduate,Self-Employed,899,5,Bike,2427307,3,77187,3,Low,South,0,5,169734,0
19,Female,Single,1064348,High School,Retired,717,9,Car,1765196,8,36590,0,Medium,North,0,3,65979,1
30,Male,Single,1782571,Postgraduate,Retired,479,1,SUV,1965367,4,59976,5,High,West,1,1,30005,0
57,Male,Single,879739,Graduate,Unemployed,309,4,Truck,1652131,6,14527,4,Medium,South,0,3,26814,0
19,Male,Married,1298853,High School,Self-Employed,674,6,Car,1315767,8,9143,0,Low,West,0,1,19527,0
37,Female,Married,1077036,Postgraduate,Self-Employed,751,1,Bike,2444982,4,61174,2,Low,West,0,2,120113,0
18,Male,Single,927802,High School,Self-Employed,409,4,SUV,656976,3,33051,4,Low,West,0,2,64858,0
54,Female,Married,1041188,Graduate,Employed,424,2,SUV,900917,9,74087,4,Medium,North,0,3,167776,0
26,Male,Married,1988892,High School,Employed,731,13,Bike,151833,7,16648,3,Low,East,0,1,28528,0
34,Male,Married,280748,Graduate,Self-Employed,600,8,Car,2363148,9,43905,0,Low,South,0,2,80693,0
26,Male,Married,1328435,Graduate,Employed,402,9,Car,1454442,3,74609,0,Medium,East,0,3,117277,0
28,Female,Divorced,1609190,High School,Retired,369,0,SUV,585156,1,3514,4,Low,South,1,1,8403,0
32,Male,Married,1572299,High School,Employed,409,6,Truck,1789885,3,31364,1,Low,East,0,4,57882,0
41,Female,Divorced,1105309,Graduate,Employed,523,9,Bike,1291198,7,29548,0,Low,West,0,2,31453,0
55,Male,Married,272884,High School,Employed,523,3,Car,1946560,1,28520,0,Low,West,0,5,62428,0
52,Male,Single,921471,High School,Unemployed,513,11,Car,1456652,5,26003,1,Low,South,0,5,30549,0
47,Female,Married,895299,Graduate,Retired,847,4,Truck,947947,5,48529,5,High,East,0,2,107869,0
48,Male,Single,454557,Postgraduate,Employed,642,0,Bike,835309,3,15682,5,Low,West,0,3,13206,0
66,Male,Single,1133252,High School,Unemployed,656,4,SUV,2118176,8,45626,5,High,West,0,3,40131,0
22,Male,Married,1841743,High School,Self-Employed,738,10,Bike,2245855,1,49449,3,Low,North,0,4,76631,0
61,Male,Divorced,316506,Postgraduate,Self-Employed,555,7,SUV,1440409,9,50110,0,Low,East,0,4,61927,0
67,Female,Married,766403,High School,Unemployed,781,12,Car,802065,7,66269,2,Low,West,0,5,159123,1
31,Female,Single,1572743,Graduate,Employed,703,13,Bike,2264592,1,32507,1,Medium,North,1,3,62658,0
28,Male,Divorced,684143,Postgraduate,Self-Employed,341,14,Truck,1690503,2,63086,0,Medium,South,0,5,93285,0
26,Male,Single,1860807,Postgraduate,Employed,687,5,Bike,215115,2,26516,1,Low,East,0,5,64599,1
51,Female,Divorced,1701776,High School,Employed,328,12,Car,2035914,1,9665,1,Low,East,0,3,23027,0
29,Male,Married,571373,High School,Employed,502,12,Car,2139856,1,50916,3,High,East,0,5,47737,0
52,Female,Married,1682539,High School,Employed,860,1,Car,535817,2,6568,3,Low,South,0,3,6429,0
52,Male,Married,1192194,Postgraduate,Self-Employed,626,1,Truck,685840,6,27598,4,Medium,West,0,2,58247,0
18,Female,Married,1177882,Postgraduate,Employed,353,10,Car,768921,5,61295,0,Medium,North,0,1,83642,0
57,Female,Single,1925491,High School,Self-Employed,789,8,SUV,2377905,5,43068,3,Low,East,0,3,34506,0
39,Female,Married,1668415,Graduate,Self-Employed,716,11,Car,1979162,2,28839,0,Low,North,0,2,67435,0
46,Female,Single,1745505,Postgraduate,Retired,659,14,Car,1973877,7,79625,4,Low,East,0,2,157729,0
25,Male,Married,892669,High School,Self-Employed,848,0,SUV,169562,3,33927,5,Low,North,0,2,42719,0
28,Male,Married,1500716,High School,Retired,504,11,SUV,1097023,9,28170,3,Low,South,0,4,69735,0
58,Female,Single,1989716,High School,Employed,579,1,Car,1364211,8,64519,3,Low,North,0,5,112130,0
54,Female,Married,1168170,Graduate,Self-Employed,354,7,Car,1765706,9,6028,4,Low,South,0,2,9221,0
31,Female,Single,1473111,Postgraduate,Employed,522,14,Bike,1616200,9,48603,2,Low,East,0,4,75143,0
47,Female,Married,594283,Postgraduate,Self-Employed,407,12,Car,1317415,6,64724,2,Medium,West,0,4,76847,0
52,Male,Single,1790129,High School,Employed,808,5,Truck,1512018,5,61442,4,Medium,East,0,5,70171,0
38,Female,Married,272445,High School,Self-Employed,305,2,Car,843036,2,5582,2,Medium,West,0,2,13630,0
54,Female,Married,1925352,Graduate,Employed,806,14,Bike,1418408,7,56739,2,Low,East,0,1,127308,0
22,Female,Single,1066204,Graduate,Employed,470,2,Car,1135853,5,36471,2,Medium,East,0,3,38899,0
36,Female,Single,714406,Graduate,Self-Employed,567,13,Car,1760333,8,39811,2,High,East,0,1,93766,0
31,Female,Married,559045,Graduate,Retired,492,10,Bike,874688,5,41531,1,Low,North,1,2,27554,0
43,Female,Married,383863,Graduate,Employed,479,8,Car,1902553,1,76313,1,Low,East,0,3,82088,0
21,Female,Married,1405773,High School,Retired,369,1,Bike,1793774,3,49727,3,Low,West,0,3,116029,0
42,Male,Married,931825,Graduate,Employed,329,14,SUV,2413437,1,14617,0,Low,South,0,3,9114,0
62,Female,Single,503204,Postgraduate,Self-Employed,418,9,Car,1828861,5,71999,1,Medium,West,0,4,169358,0
59,Female,Single,755699,High School,Retired,809,4,Bike,1646180,6,16276,0,Low,South,0,4,19703,1
42,Female,Married,1198359,Graduate,Employed,759,6,SUV,1267442,7,51628,5,Medium,South,0,1,44418,0
35,Male,Married,1301260,High School,Employed,757,5,Bike,2079241,5,38027,4,Medium,South,0,5,31341,0
57,Male,Single,1939520,Graduate,Employed,866,13,Truck,1143311,5,25566,5,Low,North,0,5,33942,0
25,Male,Married,1058379,Graduate,Employed,338,0,Car,598303,6,5470,5,Low,West,0,4,10404,0
56,Female,Single,1935538,Graduate,Unemployed,561,12,Car,1664003,9,43923,4,Medium,North,0,1,78720,0
57,Female,Married,1756887,Postgraduate,Self-Employed,483,11,Car,2149952,2,67804,5,Low,South,0,3,77230,0
31,Female,Single,1321316,High School,Retired,819,9,Truck,2279516,6,70782,4,Low,East,1,2,95845,0
49,Male,Married,1791763,Graduate,Employed,827,2,Car,693166,7,16740,0,High,North,0,2,16907,0
68,Female,Single,945413,High School,Self-Employed,685,14,Car,699580,4,29526,4,Low,East,0,5,38809,0
55,Male,Married,1741835,Graduate,Employed,875,13,SUV,1658246,5,71992,3,Medium,West,0,3,63920,0
50,Male,Married,400660,High School,Retired,552,4,Truck,465722,7,65878,0,Low,North,0,5,132961,0
40,Male,Single,1830716,Postgraduate,Employed,310,11,Truck,1222067,8,57390,3,Low,East,1,1,73322,0
32,Male,Married,1915949,High School,Retired,899,2,Bike,206403,3,48907,3,Low,East,0,5,59156,0
50,Male,Married,1903184,High School,Employed,510,2,Bike,1206428,3,51842,2,Low,West,0,2,90704,0
42,Female,Married,1613744,High School,Self-Employed,815,4,Car,1165508,9,22016,3,Low,East,0,1,22574,0
34,Female,Married,724966,Postgraduate,Employed,659,12,Bike,1836688,1,6081,1,Low,East,1,1,8061,0
50,Male,Divorced,1765955,High School,Unemployed,367,12,Car,2468727,8,79400,5,Low,South,0,2,53152,0
64,Female,Single,885712,High School,Self-Employed,726,7,SUV,961232,5,69570,3,Low,East,0,5,53951,0
19,Female,Married,1032229,High School,Self-Employed,308,9,Car,652867,3,72602,4,Medium,South,0,1,112195,0
31,Male,Single,1913034,High School,Self-Employed,836,7,SUV,2499673,7,70452,2,High,South,0,5,175903,0
57,Male,Married,863819,High School,Employed,876,13,Car,1913241,4,57126,5,Low,South,0,3,92396,0
57,Female,Divorced,1549614,Graduate,Employed,365,7,Bike,1203886,6,66054,0,Low,East,0,1,93361,0
68,Female,Married,686431,High School,Unemployed,472,5,Bike,1115718,5,24206,3,High,South,0,2,23328,0
56,Female,Single,1608922,Graduate,Employed,321,8,Car,1378468,7,61508,5,Low,North,0,2,75952,0
68,Female,Married,1589483,High School,Unemployed,341,13,Car,2087565,7,8465,2,Medium,South,0,5,17663,0
23,Male,Married,270442,Graduate,Self-Employed,503,4,Car,2254080,3,69420,3,Medium,South,0,4,99040,0
23,Female,Married,207898,Graduate,Employed,454,13,Truck,176780,5,75939,3,Low,South,1,3,142575,0
20,Male,Married,512496,High School,Self-Employed,822,9,Truck,1600972,2,49889,4,Medium,South,0,4,58039,0
24,Male,Single,1557927,High School,Self-Employed,761,6,Car,1744846,2,34172,1,Low,South,0,5,30616,1
68,Female,Married,713259,High School,Self-Employed,377,0,Car,2455489,5,69630,2,Medium,South,0,4,108689,0
25,Female,Divorced,534024,High School,Unemployed,403,14,Bike,1116807,5,59919,2,Low,West,0,5,72356,0
59,Female,Married,582762,Graduate,Employed,577,3,Bike,2282136,9,72562,3,Medium,West,0,3,52454,0
69,Male,Single,1618114,Graduate,Retired,356,0,Car,2271117,8,39419,2,Medium,North,0,5,46856,0
32,Male,Divorced,1407014,Graduate,Employed,638,9,Truck,2123510,8,79310,0,Low,West,0,5,105242,1
64,Male,Single,966876,High School,Unemployed,573,1,Truck,2175428,4,44647,0,Low,West,0,5,87895,0
46,Male,Single,1623102,High School,Employed,732,5,Car,1964109,9,4368,3,Low,West,0,3,5873,0
50,Female,Single,866196,High School,Employed,690,0,Bike,1385641,1,24804,2,Medium,West,0,4,57974,1
69,Male,Married,1790306,Graduate,Self-Employed,641,8,Car,1800602,6,31044,5,Low,West,1,5,54956,0
47,Male,Single,518580,Graduate,Employed,559,5,Bike,1867110,5,72377,3,Low,North,0,4,163457,0
56,Female,Married,446447,High School,Retired,473,7,SUV,1391747,3,37232,0,Low,West,0,2,33364,0
44,Male,Married,1762057,Graduate,Employed,494,14,Bike,2203146,1,24256,2,Low,North,0,2,51989,0
53,Male,Married,1762070,High School,Employed,740,9,Bike,1361387,5,54620,1,High,North,0,2,36437,0
46,Female,Single,328934,Postgraduate,Employed,571,9,Truck,324663,1,28412,3,Medium,East,0,3,55721,0
55,Male,Married,1682712,High School,Employed,606,7,SUV,1963879,6,17864,0,Low,North,1,5,20820,0
50,Male,Married,1370327,Graduate,Self-Employed,607,11,Car,2428019,3,50775,0,Medium,North,0,5,55805,1
54,Male,Married,700499,High School,Self-Employed,894,1,Car,410481,3,5687,1,High,West,0,5,10360,0
44,Male,Divorced,1785550,Postgraduate,Employed,855,1,SUV,1903544,3,32041,3,Medium,North,0,1,20404,0
50,Female,Married,767892,High School,Employed,506,2,Car,902646,3,58829,4,Low,South,0,2,141566,0
21,Male,Married,1289739,High School,Employed,416,10,Car,1741105,3,20508,4,Low,North,0,3,19820,0
39,Female,Married,1775355,High School,Employed,304,7,SUV,743835,2,11224,0,Medium,North,0,4,23911,0
19,Male,Divorced,1073174,Postgraduate,Self-Employed,798,10,Car,147034,5,24538,4,Low,West,0,5,45596,0
27,Female,Divorced,1307958,Postgraduate,Unemployed,600,7,Bike,2106182,6,14472,5,Low,East,0,4,19039,0
22,Female,Single,277096,High School,Unemployed,724,4,Car,1756061,6,46382,0,Low,North,1,5,90011,0
27,Female,Single,1255587,Graduate,Retired,389,13,SUV,2165237,2,3848,4,Low,South,0,2,4679,0
50,Male,Married,680836,Graduate,Unemployed,327,12,SUV,915340,1,43679,0,Low,East,0,2,80137,0
55,Male,Divorced,1670425,High School,Employed,843,1,Truck,618478,4,41802,5,Low,East,0,1,21177,0
30,Male,Married,1908798,High School,Employed,516,10,Car,1397156,8,67598,2,Medium,South,0,1,163311,0
48,Female,Married,455178,Postgraduate,Retired,370,13,Bike,395024,1,15821,1,Medium,South,0,5,12640,0
64,Male,Married,1050281,Graduate,Self-Employed,329,3,Bike,1730596,7,45381,0,Medium,East,0,4,69504,0
53,Male,Single,1195722,High School,Employed,555,3,Truck,1473048,5,10889,4,Low,West,0,1,11181,0
62,Male,Single,376375,High School,Self-Employed,695,6,Car,2365777,8,79066,3,High,South,0,3,99764,0
41,Male,Married,1653495,High School,Retired,820,3,Car,1705417,2,57256,4,Low,North,0,2,66767,0
69,Female,Divorced,323793,Graduate,Unemployed,622,9,Car,2075316,1,38108,1,Medium,West,0,4,93849,1
32,Female,Married,1618635,High School,Employed,669,5,Bike,1338964,9,22288,4,High,South,0,5,16999,0
46,Male,Married,215096,Graduate,Retired,455,10,Bike,164501,4,8052,4,Medium,East,0,5,6432,0
25,Male,Married,1046479,High School,Retired,513,1,Bike,1553586,4,15398,3,Medium,South,0,2,37620,0
22,Male,Single,935002,High School,Employed,382,14,Car,516215,2,32173,0,Low,West,0,4,24588,0
46,Female,Single,528035,High School,Unemployed,704,14,SUV,1838577,2,40814,5,High,North,0,3,27425,0
64,Male,Married,1366736,Postgraduate,Unemployed,309,1,Bike,2385581,5,35414,2,Medium,East,0,5,53649,0
21,Female,Single,732720,High School,Employed,579,11,Bike,1681670,2,11928,3,Medium,West,0,2,10827,0
29,Female,Married,1657492,Graduate,Self-Employed,580,10,Bike,1440683,6,28406,1,Low,West,0,1,26311,0
62,Male,Single,849078,High School,Employed,389,4,SUV,1628496,7,32845,5,Medium,South,0,2,70249,0
19,Male,Divorced,718372,Graduate,Self-Employed,428,0,Car,1695083,2,38676,3,Low,South,0,2,37597,0
44,Male,Married,1567582,High School,Retired,608,1,Truck,463997,8,58903,5,Medium,West,0,1,67751,0
48,Female,Single,297186,Graduate,Employed,784,2,Car,1429255,9,20657,0,Low,North,0,3,37861,1
68,Female,Single,508762,Postgraduate,Employed,406,8,Truck,1262591,3,17442,1,Low,South,0,2,43229,0
68,Male,Married,1331350,High School,Retired,804,8,SUV,1709370,4,32289,2,Low,East,0,2,47894,0
53,Female,Divorced,984912,High School,Retired,582,6,Bike,2230651,7,11438,2,High,West,0,2,20869,0
53,Male,Married,783946,Graduate,Employed,406,12,Car,523377,1,27876,4,Medium,West,0,4,41868,0
43,Male,Married,1866176,High School,Retired,454,4,Truck,1203220,4,33010,4,Medium,North,0,5,28372,0
60,Female,Married,1631771,Graduate,Employed,531,1,Car,583214,1,70618,1,Low,West,0,4,98060,0
44,Female,Married,328081,High School,Employed,748,1,SUV,2185746,2,3434,2,Low,South,0,2,6037,0
22,Female,Single,1124208,Graduate,Unemployed,679,7,SUV,1123468,9,33858,0,Low,South,0,2,21297,0
37,Female,Single,346451,Graduate,Unemployed,632,2,Car,2243258,2,39682,1,Low,West,0,1,33278,0
28,Male,Divorced,778886,High School,Self-Employed,895,6,Truck,923054,3,68993,4,Medium,East,0,1,147021,0
27,Male,Married,504164,Graduate,Employed,375,12,Bike,1216317,6,11119,4,High,North,0,4,7380,0
57,Male,Married,1781437,Graduate,Employed,560,5,Bike,277866,1,27909,4,High,East,0,2,23208,0
55,Female,Married,615631,High School,Retired,636,14,Truck,1248084,7,48747,3,Medium,East,0,1,49165,0
23,Male,Married,1053100,High School,Employed,529,12,Bike,2257133,8,10760,2,Low,South,0,1,6576,0
25,Female,Divorced,1562348,Graduate,Employed,520,5,Bike,1979899,9,44655,3,Medium,North,0,3,92981,0
40,Female,Single,1300863,High School,Unemployed,697,2,Bike,1619882,9,10396,1,Medium,South,0,3,16260,1
64,Female,Married,1624558,Postgraduate,Self-Employed,711,5,Bike,2086637,5,13802,3,Low,West,0,2,12552,0
43,Male,Single,702550,Graduate,Employed,700,12,Car,2393720,5,24287,2,Medium,East,0,1,16770,0
63,Female,Single,1511664,High School,Employed,797,3,Car,2366313,4,16768,1,High,South,0,4,27603,0
60,Female,Married,1647632,Postgraduate,Unemployed,473,0,Car,1677187,4,46292,2,Medium,West,0,5,79352,0
29,Female,Single,1694906,High School,Retired,600,11,Car,768695,1,24424,2,Medium,West,0,4,45682,0
43,Female,Married,1550162,Graduate,Employed,402,7,SUV,340021,7,62258,5,Low,South,0,2,127261,0
30,Female,Married,458153,High School,Self-Employed,820,8,Car,312371,8,5997,0,Medium,South,0,5,14659,1
57,Female,Married,1423137,Graduate,Employed,463,13,Car,242346,4,61539,0,Medium,West,0,4,133842,0
35,Female,Married,1949197,Graduate,Unemployed,304,2,Bike,1525314,3,12981,0,Low,North,0,4,12657,0
42,Female,Married,1554998,Graduate,Employed,477,10,Truck,1515001,3,77426,4,Low,North,0,5,51036,0
50,Female,Married,1020034,High School,Self-Employed,326,0,Car,1467245,7,40333,5,Low,South,0,3,27829,0
64,Female,Married,482278,High School,Self-Employed,460,0,SUV,2362081,6,46788,5,High,North,0,4,101757,0
57,Female,Single,1056152,High School,Self-Employed,414,0,Bike,1044772,1,18631,5,Medium,East,0,2,37605,0
60,Female,Divorced,534858,High School,Unemployed,677,8,Car,1296710,1,70371,3,Low,North,0,4,41385,0
29,Male,Single,663920,High School,Employed,396,9,Car,1697518,1,44915,0,Low,East,0,1,88230,0
